arroyo,"n. 干涸沟壑, 旱谷, 小河"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
aerate,"vt. 使暴露于空气中, 使充满气体
[化] 曝气; 充气; 吹气"
airtight,[电] 气密
effervesce,"vi. 冒泡, 泡腾, 兴奋
[医] 起泡, 发气泡"
exhale,"v. 呼气, 发出, 散发"
gaseous,"a. 气体的, 气态的, 无实质的
[医] 气[体]的"
inhale,"vt. 吸入
vi. 吸气"
miasma,"n. 毒气, 沼气
[医] 瘴毒, 瘴气"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
[医] 通风, 换气"
waft,"vt. 随风传送, 使飘荡
vi. 飘荡
n. 吹拂, 飘荡"
whiff,"n. 一吹, 一吸, 一阵, 一点点, 一口烟
vi. 轻轻地吹, 喷气, 三击不中出局, 垂钓
vt. 吹送, 喷出, 吸, 使三击不中出局"
winnow,[网络] 赢在当下；小田田
airy,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的"
draught,"n. 气流, 草稿, 汇票, 通风, 拉, 牵引
vt. 起草, 征兵, 选派"
audible,"a. 听得见的
[电] 可闻的"
auditorium,"n. 听众席, 礼堂
[医] 大讲堂, 大会堂"
saccharine,"a. 糖的, 含糖的, 产糖的, 极甜的, 过甜的, 太甜的, 奉承的, 讨好的, 和颜悦色的
n. 糖精"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
snore,"n. 鼾声, 打鼾
vi. 打鼾
vt. 打鼾度过"
warble,"n. 用颤音唱的歌, 鸟啭, 颤声
v. 鸟鸣, 用柔和的颤声唱"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
clapper,"n. 拍手者, 铃锤, 钟锤
[电] 铃锤"
euphony,n. 悦耳之音
damper,"n. 令人扫兴的人, 增湿器, 阻尼器
[化] 减震器"
dulcet,"a. 悦目的, 美妙的, 美味的, 悦耳的"
earsplitting,"a. 震耳欲聋的, 非常响的"
euphonious,"a. 音响好的, 悦耳的, 声音和谐的"
fanfare,"n. 喇叭边(或号角)嘹亮吹奏声, 吹牛"
hoarse,"a. 沙哑的, 嘶哑的
[医] 声嘶的"
husky,"n. 强壮结实之人, 爱斯基摩人
a. 有壳的, 声音沙哑的, 强壮的"
jarring,"a. 辗轧的, 刺耳的, 不和谐的
n. 辗轧声, 震动, 冲突"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
nasal,"a. 鼻的, 鼻声的, 尖锐的
n. 鼻音, 鼻音字"
quaver,"vi. 发颤音, 颤抖
vt. 颤抖地说, 用颤声唱出
n. 颤抖, 颤声, 八分音符"
rasp,"n. 粗锉刀, 刺耳声
vt. 用粗锉刀锉, 粗声粗气地说
vi. 粗锉, 锉磨, 发刺耳声"
reedy,"a. 芦苇丛生的, 芦苇做的, 芦苇状的"
repercussion,"n. 弹回, 反响, 反射
[医] 消退[法], 消肿[法], 浮动诊胎法"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
[医] 反响的, 叩响的, 共鸣的, 共振的"
reverberate,"vi. 回响, 反响, 被反射
vt. 使反响, 使回响, 反射
a. 回响的, 反射的"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
sonorous,"n. 宏亮的, 响亮的, 作响的
[医] 响声的, 作响的"
stentorian,a. 声音洪亮的
strident,"a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
[医] 喘鸣性的"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
decant,"vt. 轻轻倒出, 移入其他容器
[医] 倾泻, 倾析"
desiccated,"a. 干的, 粉状的
v. 使干燥(desiccate的过去式); 变干"
anhydrous,"a. 无水的
[医] 无水的"
backwater,"令划手划倒桨
[化] 回水"
bedraggled,"a. 全身泥污的, 满身湿透的, 破烂的"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
billowy,"a. 巨浪似的, 汹涌的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
caulk,vt. 填...以防漏
colander,"n. 滤器
[建] 滤器"
debacle,"n. 崩溃, 大失败"
debouch,"vi. 走出, 流出
vt. 使流出"
fluctuation,"n. 变动, 波动, 动摇
[化] 涨落; 起伏; 波动; 脉动"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drench,"vt. 使湿透, 使充满
n. 滂沱大雨, 弄湿"
drenched,"adj. 湿透的；充满的
v. 浸湿；强使服药；覆盖（drench的过去分词）"
dribble,"vi. 流口水, 滴下
vt. 使滴下, 运球
n. 点滴, 口水, 少量"
droplet,"n. 小滴
[医] 小滴"
exude,"v. (使)流出, (使)渗出"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
immerse,"vt. 沉浸, 使陷入
[医] 浸[入]"
impermeability,"n. 不渗透性, 不透过性
[医] 不[渗]透性"
impermeable,"a. 不能渗透的, 不能通过的
[医] 不[渗]透性"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
influx, 冻结磁通
instill,vt. 徐徐滴入；滴入(常与into连用):；逐渐灌输(常与in，into连用)
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
itinerant,"a. 巡回的
n. 巡回者"
lactic,"a. 乳的, 乳汁的, 由乳汁取得的
[医] 乳的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leakage,漏洩，流失
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
mobility,"n. 可动性, 流动性, 机动性
[化] 迁移率"
natation,n. 游泳
nonporous,无孔的
osmosis,"n. 渗透作用, 渗透性, 潜移默化, 耳濡目染
[化] 渗透; 渗透作用"
overflow,[机] 溢流
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
[法] 打翻, 倾覆, 覆盖"
percolate,"vt.vi. 滤, 滤过, 渗开, (使)渗透, (使)渗滤
n. 滤过液, 渗出液
vt. 用渗滤壶煮(咖啡)"
permeable,"a. 有渗透性的, 能透过的
[化] 渗透性的; 可渗透的"
pervious,"a. 使通过的, 能渗透的, 让过去的, 能接受的, 有穿透力的
[医] 可渗透的, 可透过的"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
[医] 多孔的"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
[计] 服务器文件删除实用程序"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
purity,"n. 纯净, 纯正, 纯粹
[化] 纯度"
reconstitute,vt. 重新设立；重新组成
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
saturated,"a. 饱和的, 渗透的
[医] 饱和的"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
sift,"vt. 筛, 过滤, 撒, 详查
vi. 筛, 被筛下, 精选"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
sluice,"n. 水门, 水闸, 蓄水
vt. 泄洪, 冲洗
vi. 奔流"
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
sodden,"adj. 浸透的；浑身湿透的；浸过酒的
vt. 使浸透；使迷糊"
soggy,"a. 浸水的, 沉闷的
[化] 欠硫; 硫化不足"
sopping,a. 浑身湿透的
souse,"n. 溅落, 浸入, 腌渍用盐汁, 腌制物, 浸水
vt. 把...浸如水中, 腌制, 弄醉
vi. 被浸透, 喝醉
adv. 扑通一声地, 出其不意地"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
sublimate,"vt. 使升华, 使高尚
vi. 升华, 纯化
a. 纯净化的, 高尚的, 理想化的
n. 升华物"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
[计] 电压尖峰"
swill,"n. 剩饭菜；不好喝的饮料；难吃的食物；劣质饮料（或食物）
v. 冲洗；灌洗；涮；大口喝
[网络] 痛饮；倒出；猪食"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
torrential,"a. 奔流的, 急流的, 猛烈的"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
[计] 信息透露"
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
whelm,"vt. 用...覆盖, 压倒, 淹没
vi. 覆盖, 淹没"
rapids,n. 湍流；急流
riffle,"n. 浅滩, 急流, 涟漪, 弹洗
vt. 使起涟漪, 迅速翻阅, 弹洗洗牌
vi. 成涟漪, 飞快翻书"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
sip,[网络] 肯定命题；矽智财
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
[医] 内障, 白内障"
awash,[网络] 冲洗；一家洗；我洗了我的汽车
alluvial,"a. 冲积的
[机] 冲积的"
effervescence,"n. 冒泡, 欢腾, 兴高采烈
[化] 泡腾; 起泡; 起泡沫"
billowing,"v. 在波涛中翻滚( billow的现在分词 ); 扬起, 鼓起; 潋滟"
debris,"n. 碎片, 残骸
[医] 碎屑"
oddments,"n. 零头, 碎屑; 碎屑( oddment的复数形式 ); 余料; 附页"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
[计] 余数"
remains,"n. 剩余物, 废墟, 残余
[法] 遗体, 尸体, 遗骸"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
residue,"n. 残渣, 剩余, 余数
[化] 残基; 残渣; 残液; 釜液"
shavings,n. 刨花；剃须（shaving的复数形式）
soot,"n. 煤烟, 炭黑色
vt. 熏以煤烟"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
clout,"n. 敲击, 破布
vt. 打补钉"
crumb,"n. 碎屑, 面包屑, 少许
vt. 捏碎, 弄碎"
detritus,"n. 碎石
[医] 腐质, 碎屑"
dregs,n. 少量；渣滓；沉淀物（dreg的复数）
dross,"n. 渣滓；浮渣；碎屑
n. (Dross)人名；(德)德罗斯"
filings,"n. 锉屑
[医] 锉屑"
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
sawdust,[机] 锯屑
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
sediment,"n. 沉淀物, 沉积
[化] 沉降物; 沉积物"
shard,"n. 陶瓷碎片, 鞘翅, 薄硬壳"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
wreckage,"n. 残骸, 失事, 破坏
[经] (船双等的)失事遭难"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
flotsam,"n. 浮货, 废料, 零碎
[法] 漂流的船货"
cinder,"n. 煤渣, 灰烬
[化] 炉渣; 熔渣; 煤渣; 矿渣; 粗灰"
fleece,"n. 羊毛, 羊毛制的覆盖物
vt. 剪下羊毛, 诈取"
hirsute,"a. 多毛的, 有粗毛的
[医] 多毛的"
mitten,"n. 连指手套, 拳击手套"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
pelt,"n. 投掷, 打击, 快速, 毛皮
vt. 剥...的皮, 连续投掷, 攻击, 抨击, 拍打
vi. 投击"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
shuck,"n. 壳, 外皮, 牡蛎壳
v. 剥去, 脱去"
tonsorial,"a. 理发师的, 理发的"
toupee,n. 男子假发
ciliated,"a. 有睫的, 有纤毛的
[医] 具纤毛的"
caliber,"n. 口径, 才干, 水准
[医] 管径, 口径"
broach,"n. 烧肉叉, 凿子, 钻头
vt. 用凿子修琢(石块), 钻孔
vi. 露出水面"
bucket,"n. 桶
[计] 存储桶; 桶"
caldron,n. 大锅
carafe,n. 卡拉夫瓶
chalice,"n. 酒杯, 圣餐杯"
cistern,"n. 贮水器, 水塘, 水箱
[化] 槽车"
ewer,"n. (有柄的)大口水壶, 花瓶状水罐"
flask,"n. 细颈瓶, 烧瓶, 小水瓶
[化] 瓶; 烧瓶"
goblet,"n. 高脚杯, 酒杯"
phial,"n. 管形瓶, 小药瓶
[医] 管[形]瓶"
receptacle,"n. 容器, 花托, 插座
[医] 容器, [接]受器, 花托"
skillet,"n. 煮锅, 长柄浅锅"
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
chip,[网络] 新电脑；中游晶粒切割；金属切削加工过程中切屑
coffer,"n. 保险箱, 金库
vt. 把...锁进箱子"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
[医] 收集; 收集品, 标本"
gossamer,"n. 小蜘蛛网, 蛛丝, 薄纱
a. 薄弱的, 轻飘飘的"
granule,"n. 小粒, 细粒, 颗粒
[计] 区组"
landmark,"[法] 地界, 界标"
ligneous,"a. 似木的, 木质的, 木制的
[医] 木样的"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
[计] 循环"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
noose,"n. 套索, 束缚, 陷阱
vt. 用套索捉"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
[法] 公文包, 文件夹, 阁员职务"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
[计] 投影仪"
pulley,"n. 滑车, 滑轮
[医] 滑车"
reminder,"n. 提醒的人, 暗示
[经] 催单"
rung,"n. (梯子)踏步, 横档, 轮辐, 粗棍
ring的过去分词"
safe,"adj. 安全的；可靠的；平安的
n. 保险箱；冷藏室；纱橱
n. (Safe)人名；(几)萨菲"
scooter,"n. 小型摩托车, 踏板车
[机] 机车"
slab,"n. 平板, 厚片
vt. 切成厚板, 以平板盖上"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
souvenir,n. 纪念品
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
surrogate,"n. 替代者, 代用品
vt. 代理, 替代"
trove,"n. 发现物, 收藏品
[法] 发现物, 收藏物"
vat,[网络] 退还增值税
circlet,"n. 小圈, 小的环, 环形饰物
[医] 小环"
floe,n. 大浮冰
gazetteer,"n. 地名辞典, 公报作者"
roster,n. 花名册
signature,"n. 签字, 识别标志, 调号
[计] 签名附件"
alias,"n. 别名, 化名
adv. 以化名为人所知
[计] 别名; 替换入口"
anonymity,"n. 匿名, 姓氏不明
[计] 匿名信件"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
[计] 无记录"
appellation,"n. 名称, 称号
[法] 称呼, 名称, 名目"
byline,"精确地,准确地,正确地 [亦作 by line and level]"
cognomen,"n. 姓, 名字, 绰号
[法] 姓, 名字, 别名"
denominate,vt. 命名
denomination,"n. 名称, 教派, 面额
[经] 票面金额, 名称, (度量衡)"
designation,"n. 指示, 指定, 命名
[电] 指定"
pseudonym,"n. 假名, 笔名
[法] 笔名, 假名"
nomenclature,"[计] 名词汇编, 术语表, 术语符号"
coronation,n. 加冕礼
coup,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变
[医] 发作, 中, 击"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
éclat,无
kudos,"n. 称赞, 光荣, 荣誉"
caste,"n. 印度的种姓制度, (排他的)社会团体"
championship,n. 锦标赛；冠军称号；冠军的地位
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
[计] 分级结构; 分层结构; 新闻组, 新闻组分层"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
puissance,"n. 力, 势, 权力"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
scepter,"n. 节杖, 王权
vt. 拥登王位, 授与王权"
status,"n. 状态, 情形, 地位, 要人身份
[计] 状态"
throne,"n. 王座, 君主"
tertiary,"a. 第三的, 第三位的, 第三产业的
n. 第三修道会会员, 第三纪
第三的; 三代的(指无机盐)"
vantage,"n. 优势, 有利情况"
degraded,"a. 被降级的, 落泊的, 退化的"
counterpart,"[计] 副本, 配对物, 对应物"
differential,"a. 差别的, 特异的, 微分的
n. 差别, 两路线运费差额, 工资差额"
synonymous,"a. 同义词的, 同义的"
affinity,"n. 吸引, 姻亲关系, 类同
[化] 亲合力; 亲合能; 亲合势; 近似; 类似"
amoral,"a. 不属于道德范畴的, 无从区分是非的"
analogous,"a. 类似的, 相似的
[医] 类似的, 类同的"
bearing,"n. [机] 轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
dictatorial,"a. 独裁者的, 独裁的, 独断的"
egalitarian,"a. 平等主义的
n. 平等主义"
equate,"vt. 使相等, 视为平等
vi. 等同"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
[计] 等价的"
extraneous,"a. 外来的, 非必要的, 无关的
[医] 体外的"
extrinsic,"a. 外在的, 外来的, 非国有的, 外表的
[医] 外部的, 体外的"
germane,"a. 关系密切的, 有关的, 同样的, 恰当的, 贴切的
[机] 锗烷"
hierarchic,"[计] 分级的, 分层的, 层次的"
parallelism,"n. 平行, 对应, 类似, 比拟
[计] 并行性"
parity,"n. 同等, 同位, 平价, 奇偶性
[计] 奇偶性"
pertinent,"a. 相关的, 中肯的, 切题的
[法] 恰当的, 有关的"
pertinence,"n. 有关性, 相关性"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relevance,n. 有关；贴切；中肯；确切；相关(性)；相应；成比例；重大意义；实用性
tantamount,"a. 同等的, 相等的, 相当于...的
[法] 相等的, 相当的, 同等的"
interrelated,"(inter-relate 的过去分词) v. 相互关连
vt. （使）相互关连"
correlation,"n. 相互关系, 相关, 关联
[医] 相关, 联系"
consanguinity,血缘
avuncular,"a. 叔伯的, 叔伯似的"
consort,"n. 配偶, 夫妻
vi. 陪伴, 结交, 符合
vt. 使结合"
lineage,"n. 血统, 直系
[法] 血统, 世系"
lineal,"a. 直系的, 正统的, 嫡出的
[法] 直系的, 世袭的, 继承的"
maternal,"a. 母亲的, 母系的, 母方的
[医] 属母的, 母的, 母性的"
affinity,"n. 吸引, 姻亲关系, 类同
[化] 亲合力; 亲合能; 亲合势; 近似; 类似"
monogamous,a. 一夫一妻制的
matrimony,"n. 结婚, 婚姻生活, 婚礼
[法] 婚姻, 结婚, 婚礼"
betroth,"vt. 订婚, 许配
[法] 订婚"
conjugal,"a. 婚姻的, 配偶的
[医] 夫妇的"
connubial,"a. 结婚的, 夫妇的, 配偶的"
dowry,[网络] 陶里
marital,"a. 丈夫的, 婚姻的, 夫妇间的
[医] 婚姻的"
monogamy,"n. 一夫一妻制
[医] 单配"
nubile,"a. 适婚的
[医] 适合结婚的"
nuptial,"n. 婚礼
a. 婚姻的, 婚礼的"
bazaar,n. (东方国家的)市场，集市，街市；(尤指出售花哨小玩艺儿、华丽衣物等的)百货商店，杂货铺；市场[亦作 bazar]；(通常为俱乐部、教堂等筹款的)义卖；义卖市场；义卖展销
piazza,"n. 广场, 阳台, 柱廊, 走廊, 露天市场"
plaza,"n. 广场, 市场, 购物区"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
detonation,"n. 爆炸, 爆裂, 爆炸声
[化] 爆轰(化学反应速度高于其声速); 爆震; 引爆"
phalanx,"n. 方阵, 密集队列, 密集的人群(或兽群), 指骨, 趾骨
[医] 指[趾]骨"
pugnacity,n. 好斗
regimental,"a. 团的, 附属于团的
n. 团服, 军服"
fastness,"n. 要塞, 巩固, 迅速
[医] 抗拒性"
fort,[网络] 算机上将…格式化
fosse,"n. 壕, 沟渠, 护城河"
moat,[网络] 姆阿特；母姓；莫亚
rampart,"n. 垒, 壁垒, 防御土墙
vt. 用壁垒围绕, 防卫, 守卫"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
[计] 数组; 阵列"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
beacon,"n. 烽火, 灯塔
v. 照亮"
blade,"n. 叶片, 刀锋, 刀口, 剑
[医] 页[片], 叶片, 刀片, 刀刃, 刀口"
bombardment,"n. 炮击
[化] 轰击"
catapult,"n. 弹射器, 弹弓, 弩炮
vt. 发射"
cavalcade,"n. 行列, 骑马行列, 一系列"
centurion,n. 百人队队长
chivalry,"n. 骑士精神, 骑士制度"
dagger,"n. 匕首
vt. 用剑刺"
