accustom,vt. 使习惯于
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
extremely,"adv. 极端地, 非常地"
extremist,[经] 偏激份子
fame,"n. 名望, 名声, 传说"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
fiery,"a. 炽热的, 热烈的, 暴躁的"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
hearty,"a. 诚恳的, 健壮的, 热烈的, 丰盛的"
hoarse,"a. 沙哑的, 嘶哑的
[医] 声嘶的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
[法] 可证明为同一的, 可以办清的"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
[计] (打)标记, 标识"
inadequate,"a. 不充分的, 不适当的
[法] 不充分的, 不适当的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
[医] 中性的, 无作用的, 无亲和力的, 淡漠的"
indifference,"n. 不重视, 无兴趣, 漠不关心
[法] 中立, 不偏袒, 不重视"
indifferently,"adv. 不关心地, 冷淡地, 淡然地"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
[医] 惰性的, 无作用的, 无效的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
inherent,"a. 固有的, 与生俱来的
[医] 固有的, 生来的"
inherently,"adv. 内在地, 生来地, 固有地
[计] 固有的"
lovable,"a. 可爱的, 惹人爱的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maturity,"n. 成熟, 完备, 到期
[医] 成熟, 成熟期, 发育期"
prematurely,"adv. 过早地, 贸然地"
naive,"a. 天真的, 纯真的, 幼稚的"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
[法] 持有, 占有, 具有"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
[法] 不注意的, 粗心大意的, 鲁莽的"
reliable,"a. 可靠的, 可信赖的
[法] 可靠的, 可信赖的, 确实的"
reliability,"n. 信度, 可靠性
[计] 可靠性"
reliably,"adv. 可靠地, 可信赖地"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
[法] 信任, 信赖, 信心"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
response,"n. 反应, 回答, 响应
[计] 应答"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
[法] 无情的, 残忍的"
ruthlessly,"adv. 无情地, 冷酷地, 残忍地"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
sceptical,"a. 怀疑论的, 怀疑的"
sensible,"a. 有感觉的, 敏感的, 明智的
[医] 可感觉的"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
[机] 敏感的, 灵敏的, 感度高的"
sensitivity,"n. 敏感, 灵敏度
[计] 灵敏度"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
sneak,"v. 溜；偷偷地走；偷偷地做；偷带
adj. 突然的；出其不意的
n. 告状者（尤指儿童）
[网络] 潜行；偷窃；偷偷摸摸"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
sophisticate,"n. 久经世故的人, 精于...之道的人
vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂
vi. 诡辩"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
stiffness,"n. 坚硬, 呆板, 刻板
[医] 强直, 僵硬"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
suspicion,"n. 怀疑, 觉察, 嫌疑
[法] 怀疑, 疑心, 嫌疑"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
bad-tempered,"adj. 暴躁的
[网络] 坏脾气的；脾气坏的"
tempered,"adj. 缓和的，温和的；调节的；有…气质的
v. 调和（temper的过去分词）"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
[医] 能耐受的"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
[法] 不受欢迎的人, 不良份子, 不法份子"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
[医] 易损的"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
weariness,"n. 疲倦, 厌倦, 疲劳"
absent-minded,"adj. 茫然的
[网络] 心不在焉；健忘的；心不在焉的"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
appearance,"n. 出现, 露面, 外观, 外表, 出版
[计] 外观, 版面"
disappearance,"n. 看不见, 失踪, 消失"
aptitude,"n. 资质, 才能, 自然倾向
[医] 资质, 才能"
argumentative,"a. 好辩的, 引起争论的, 论证式的
[法] 争辩的, 辩论的, 有争议的"
attractive,"a. 吸引人的, 有魅力的
[法] 有吸引力的, 有迷惑力的"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
behavior,"n. 行为, 举止
[医] 行为"
behaviour,"n. 行为, 举止
[计] 特性, 性能, 特点, 行为, 动作, 状态"
blond,"a. 金发的
n. 白肤碧眼金发的人"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
bookish,"a. 好读书的, 书呆子的"
bossy,"a. 专横的, 浮雕装饰的"
bravery,n. 勇敢
breathless,"a. 喘不过气来的, 屏气的, 气喘吁吁的, 无风的, 死的"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
bushy,"a. 灌木一样的, 灌木茂密的, 浓密的"
celebrated,"a. 驰名的, 有名的"
celebrity,"n. 名声, 名人"
character,"n. 性格，品质；特性；角色；[计] 字符
vt. 印，刻；使具有特征
n. (Character)人名；(英)克拉克特"
chatterbox,n. 喋喋不休者
childhood,"n. 孩童时期
[医] 儿童期"
childish,"a. 天真的, 孩子气的"
chin,"abbr. (=Chinese； China)
[网络] 下巴；中国；中国梦之声"
committed,"a. 献身于某种事业的
[计] 委托的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
a. 平凡的；陈腐的"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
[法] 捐助人, 捐赠人, 投搞人"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
cruelty,"n. 残酷, 野蛮, 残酷行为
[法] 残酷, 残忍, 虐待"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
deaf,"a. 聋的
[医] 聋的"
deafen,"vt. 使聋
vi. 变聋"
demanding,"a. 要求高的, 费力的"
demerit,"n. 缺点, 短处, 过失"
distinguished,"a. 卓著的, 著名的"
dogged,"a. 顽固的, 顽强的"
dutiful,"a. 尽职的, 忠实的, 顺从的, 守本分的"
elderly,"a. 过了中年的, 稍老的"
eloquence,"n. 口才, 雄辩术, 雄辩
[法] 善辩, 口才"
emergence,"n. 出现, 浮现, 发生"
eminence,"n. 显赫, 名家, 高处
[医] 隆起, 隆凸"
energetic,"a. 精力充沛的, 积极的"
excellence,"n. 优秀, 卓越, 优点"
excitable,"a. 能被激动的, 易兴奋的, 易怒的
[医] 应激的, [可]兴奋的"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
excitement,"n. 刺激, 兴奋
[医] 兴奋, 激动"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
expressive,"a. 表达的, 富于表情的"
eyebrow,"n. 眉毛
[医] 眉"
eyesight,"un. 视力；目力；观察孔；信号孔
[网络] 目光；目视孔；见解"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
feminine,"a. 女性的, 阴性的, 柔弱的
[医] 女性的, 雌性的"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fleshy,"a. 肉的, 肉体的"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
footprint,"na. 足迹；太空飞船或飞弹等的预定着陆点；【计】底面积
[网络] 脚印；足印；生态足印"
footstep,"n. 脚步, 脚步声, 足迹"
forehead,"n. 额, 前额, 前部
[医] 额"
foresight,"n. 远见, 深谋远虑
[法] 先见, 预见, 预见的能力"
forgetful,"a. 健忘的, 易忘的"
freely,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地
[计] 浮动地"
fright,"n. 惊骇, 吃惊
[医] 惊吓"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
gambler,"n. 赌博者, 赌徒
[法] 赌徒, 投机商人"
generosity,"n. 慷慨, 宽大"
gifted,a. 有天才的
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
glamourous,"a. 迷人的, 美丽动人的, 富有魅力的, 富有迷惑力的"
good-hearted,(goodheart 的过去分词)  [人名] 古德哈特
good-looking,"a. 相貌好看的, 吸引人的"
goodness,"n. 仁慈, 善良"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
[经] (企业的)商誉, 信誉"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
greed,"n. 贪欲, 贪婪"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
halting,"a. 跛的, 蹒跚的, 犹豫的"
hardworking,(hard-work 的现在分词) 努力工作；[劳经] 繁重的工作
heartbreak,[网络] 心碎；伤心；要我心碎
heartbreaking,"a. 令人悲伤的, 极其累人的, 令人动情的"
heartbroken,"adj. 心碎的
[网络] 心碎了；伤心；心都碎了"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
[计] 暂停"
high-pitched,"adj. 音调高的；坡度陡的；紧张的；极敏感的
[网络] 高音调的；高声调；快速的"
homesick,"adj. 想家的
[网络] 思乡病；乡愁；劳苦"
hospitable,"a. 好客的, 招待周到的"
hum,"n. 嗡嗡声；交流声；哼哼声；嘈杂声
v. 哼(歌曲)；〈口语〉欺骗；发出嗡嗡声或呼呼声:；(在嘴里)咕咕哝哝
int. 哼!（表示轻蔑、踌躇、怀疑等）
[网络] 嗯；嗡嗡叫；人可不可以更简单"
humiliating,"a. 丢脸的, 耻辱的, 羞愧的"
hurried,"a. 匆忙的, 仓促的, 草率的"
hypocritical,"a. 伪善的, 伪善者的"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
idealist,"n. 理想主义者, 唯心主义者
a. 唯心论的, 理想主义的"
idiot,"n. 白痴, 极蠢之人
[医] 白痴者, 痴子"
ignorance,"n. 无知, 愚味
[法] 无知, 不知情, 愚昧"
illiteracy,"n. 文盲, 无知"
imaginative,"a. 想像的, 虚构的"
imbecility,"n. 低能, 愚钝, 愚蠢言行
[医] 痴愚, 愚钝"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
[医] 未成熟的"
immoral,"a. 不道德的, 邪恶的, 放荡的
[法] 不道德的, 道德败坏的, 邪恶的"
impatience,"n. 性急, 难耐, 焦急, 急躁"
impolite,"a. 无礼的, 粗鲁的"
individuality,"n. 个性, 个人, 特征"
indulgent,"a. 纵容的, 任性的, 宽容的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
insensibility,"n. 无感觉, 不在乎, 不关心
[化] 不灵敏性"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
[医] 感觉迟钝的"
insincere,"a. 不诚实的, 无诚意的, 伪善的"
insistent,"a. 坚持的, 迫切的"
insulting,"a. 侮辱的, 损害人体的"
intolerable,"a. 无法忍受的, 难耐的"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
inventive,"a. 善于创造的, 发明的"
inventiveness,"n. 发明创造能力, 创造性"
kindly,"a. 和蔼的, 温和的, 爽快的
adv. 温和地, 亲切地"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
lonesome,a. 寂寞的
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
[法] 忠诚, 忠心"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
masculinity,"n. 男子气, 刚毅, 大丈夫气概
[医] 男子本性, 男性"
modesty,"n. 谦逊, 质朴, 羞怯"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
monstrous,"a. 巨大的, 畸形的, 怪异的
[法] 巨大的, 异形的, 畸形的:荒诞的"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
[医] 裸露的"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
noted,"a. 著名的, 显著的, 扬名的"
patience,"n. 耐性, 忍耐"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
[医] 人格; 个性"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
prestigious,a. 享有声望的
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
rascal,"n. 流氓, 无赖, 坏蛋, 淘气鬼
[法] 流氓, 无赖, 恶棍"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
reluctance,"n. 不情愿, 勉强
[电] 磁阻"
resemble,"vt. 相似, 类似"
resemblance,"n. 相似处, 类似, 肖像"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
seasick, [医]晕船[症]
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
shortsighted,"a. (英)近视的, 眼光短浅的, 目光短浅的
[医] 近视的"
sleepy,"a. 困乏的, 欲睡的"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
[机] 细的, 纤细的"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
smack,"n. 风味, 滋味, 少量, 拍击声, 咂嘴声, 小渔船, 海洛因
vi. 有味道, 咂嘴, 发出拍击声
vt. 拍, 打, 掴, 咂, 出声地吻
adv. 啪地一声, 猛然"
solitary,"adj. 独自的；单独的；喜欢（或惯于）独处的；单个的
n. 独居者
[网络] 孤独的；唯一的；独居的"
sophisticated,"a. 复杂的, 久经世故的
[法] 尖端的, 高级的, 非常有经验的"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
stealthy,"a. 秘密的, 掩人耳目的, 鬼鬼祟祟的
[法] 隐密的, 暗中的"
stony,"a. 多石的, 无情的"
sulky,"a. 生气的, 阴沉的"
talented,"a. 天资高的, 有才能的"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
temperament,"n. 气质, 性格, 性情
[医] 气质, 禀赋"
temperamental,"a. 气质的, 性格的, 易兴奋的"
thoughtful,"a. 深思的, 体贴的"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
tiptoe,"n. 脚尖；趾尖
vi. 用脚尖走
adv. 用脚尖
a. 踮着脚走的；偷偷摸摸的"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
tricky,"a. 狡猾的, 机敏的"
trustworthy,"a. 可信赖的
[法] 可信任的, 可靠的, 可信赖的"
